configuration,boarding_method,bag_percent,n_groups,steps
"3,3",front-to-back,0.0,15,146
"3,3",front-to-back,0.0,15,144
"3,3",front-to-back,0.0,15,139
"3,3",front-to-back,0.0,15,151
"3,3",front-to-back,0.0,15,144
"3,3",front-to-back,0.0,15,143
"3,3",front-to-back,0.0,15,145
"3,3",front-to-back,0.0,15,137
"3,3",front-to-back,0.0,15,140
"3,3",front-to-back,0.0,15,149
"3,3",front-to-back,0.0,15,148
"3,3",front-to-back,0.0,15,143
"3,3",front-to-back,0.0,15,157
"3,3",front-to-back,0.0,15,144
"3,3",front-to-back,0.0,15,149
"3,3",front-to-back,0.0,15,148
"3,3",front-to-back,0.0,15,147
"3,3",front-to-back,0.0,15,152
"3,3",front-to-back,0.0,15,141
"3,3",front-to-back,0.0,15,137
"3,3",front-to-back,0.0,15,145
"3,3",front-to-back,0.0,15,140
"3,3",front-to-back,0.0,15,142
"3,3",front-to-back,0.0,15,147
"3,3",front-to-back,0.0,15,144
"3,3",front-to-back,0.0,15,140
"3,3",front-to-back,0.0,15,145
"3,3",front-to-back,0.0,15,144
"3,3",front-to-back,0.0,15,143
"3,3",front-to-back,0.0,15,142
"3,3",front-to-back,0.0,15,145
"3,3",front-to-back,0.0,15,146
"3,3",front-to-back,0.0,15,144
"3,3",front-to-back,0.0,15,145
"3,3",front-to-back,0.0,15,146
"3,3",front-to-back,0.0,15,156
"3,3",front-to-back,0.0,15,156
"3,3",front-to-back,0.0,15,155
"3,3",front-to-back,0.0,15,134
"3,3",front-to-back,0.0,15,140
"3,3",front-to-back,0.0,15,146
"3,3",front-to-back,0.0,15,147
"3,3",front-to-back,0.0,15,147
"3,3",front-to-back,0.0,15,141
"3,3",front-to-back,0.0,15,136
"3,3",front-to-back,0.0,15,143
"3,3",front-to-back,0.0,15,147
"3,3",front-to-back,0.0,15,139
"3,3",front-to-back,0.0,15,143
"3,3",front-to-back,0.0,15,143
"3,3",front-to-back,0.0,15,148
"3,3",front-to-back,0.0,15,150
"3,3",front-to-back,0.0,15,141
"3,3",front-to-back,0.0,15,151
"3,3",front-to-back,0.0,15,142
"3,3",front-to-back,0.0,15,149
"3,3",front-to-back,0.0,15,138
